Complexity,Loss,Equation
1,12.916186,"0.33733338"
3,12.832256,"cbrt(cbrt(x1))"
4,12.704272,"cbrt(cbrt(cbrt(x1)))"
5,12.128021,"cbrt(cbrt(x1)) / 0.13054127"
6,12.09922,"sin(cbrt(cbrt(x1))) / 0.13054127"
8,12.099158,"(sin(cbrt(cbrt(x1))) / 0.13054127) - x5"
9,12.095146,"(sin(cbrt(cbrt(x1))) / 0.13054127) - cbrt(x3)"
10,9.50272,"exp(sin(cbrt(cbrt(x5)) / sin(0.13054127)) / 0.35165998)"
11,5.5422244,"cube(sin(tan(cbrt(cbrt(x5))) / square(0.32929516)) / 0.35165998)"
13,4.2436566,"cube(sin(tan(cbrt(cbrt(x5 + x5))) / square(0.32929516)) / 0.35165998)"
16,2.3185136,"cube(exp((sin(tan(cbrt(cbrt(x5 + x5))) / square(0.32929516)) / 0.35165998) + -1.59938))"
19,1.9993162,"cube(exp((sin(cbrt(tan(cbrt(x5 + x5))) / square(sin(0.32929516 + x4))) / 0.35165998) + -1.59938))"
21,1.8996216,"cube(exp((sin(tan(cbrt(cbrt(x5 + x5))) / square(sin(0.32929516 + x5))) / 0.35165998) + -1.59938)) + x2"
22,1.7197481,"cube(exp((sin(tan(cbrt(cbrt(x5 + square(x1)))) / square(sin(0.32929516 - x5))) / 0.35165998) + (-1.59938 + x2)))"
25,1.7143974,"cube(exp((sin(tan(cbrt(cbrt(x5 + square(x1)))) / square(sin(0.32929516 - tan(x3)))) / 0.35165998) + (-1.59938 + x2))) - x2"
