 r rp rn tp tn ssp ssn sp sn d1p d1n d2p d2n
   0.0000000000000000        8.9598290306863476E-002   7.4475570020182819E-002   3.9039722223334912E-002  0.14641526778946276       -1.8482389775969100E-003  -1.6259562933425491E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.15158279804618480       0.16595484821473003     
  0.29999999999999999        8.7382731220136831E-002   7.6901198095639306E-002   4.1350921787236025E-002  0.14314486989819883       -2.1451444867777447E-003  -1.4900040722399838E-002  -2.0080273839870948E-004  -1.5486521326786844E-003  -1.4276990380808039E-002   1.5593602548314382E-002 -0.13701542120237381       0.14934811871693501     
  0.59999999999999998        8.1512909111728177E-002   8.3288714908571385E-002   4.7392849307544754E-002  0.13432062998005823       -2.8404414419359097E-003  -1.1295032804042902E-002  -4.9747852063152572E-004  -2.6334793013741476E-003  -2.3397345125722599E-002   2.5384297524777791E-002  -9.5448530877584398E-002  0.10272056796922011     
  0.89999999999999991        7.4096847029963359E-002   9.1269388028816081E-002   5.5301086524356412E-002  0.12316745702153561       -3.1742823021978046E-003  -7.1296159676826386E-003  -8.7577099582264266E-004  -3.0466868619635091E-003  -2.4451851531379062E-002   2.5947290545963904E-002  -4.4202675871632409E-002   4.3546121478614634E-002
   1.2000000000000000        6.7541659238077034E-002   9.8037618396397005E-002   6.3080776747755640E-002  0.11347417352773123       -2.2393214798079771E-003  -3.9329477215868389E-003  -1.1438991160005001E-003  -2.9239113562139264E-003  -1.8098671546162341E-002   1.7788695028375878E-002   3.9915644000845102E-004  -8.6335885204180396E-003
   1.5000000000000000        6.3639397743892295E-002  0.10148218003277425        6.9099124832775471E-002  0.10785393392392230        6.2869508905960287E-004  -2.2662141973265096E-003  -9.5091918001955129E-004  -2.5789859834474912E-003  -7.5385875393268464E-003   4.7934571606576496E-003   2.7498123383048856E-002  -3.9192889567552881E-002
   1.7999999999999998        6.3008532389344077E-002  0.10095174883808357        7.2037300919124900E-002  0.10648673231636357        5.4088422557610960E-003  -1.7286368892173699E-003   9.9498637098922380E-005  -2.2767286128169409E-003   2.8687253634219192E-003  -7.6561385612001244E-003   3.2909367124786162E-002  -4.3700888861999673E-002
   2.1000000000000001        6.4970747381676339E-002   9.7325985783941055E-002   7.1070409646624172E-002  0.10695200506810469        1.1069966883294820E-002  -1.4448636038588193E-003   2.2436966442643215E-003  -2.0899865249601485E-003   9.0927500487500684E-003  -1.5246881849092109E-002   1.9268855319636510E-002  -2.9325867928591993E-002
   2.3999999999999999        6.7865045032030474E-002   9.2350163226051912E-002   6.6392203637615527E-002  0.10553714659277391        1.5771096690433549E-002  -6.7117178949741203E-004   5.3391899059262284E-003  -1.8957373384004153E-003   8.9101113243470562E-003  -1.6840497252296124E-002  -4.1798036488406732E-003  -1.1019273085610216E-002
   2.6999999999999997        6.9757598709883240E-002   8.7558269793252569E-002   5.9257049259914270E-002   9.9460629254672472E-002   1.7783592208183863E-002   7.3960237064421780E-004   8.8074043996438107E-003  -1.4952148998011890E-003   2.8101666846010879E-003  -1.4814239576139010E-002  -2.5674170277852223E-002  -2.4928832486100453E-003
