Complexity,Loss,Equation
1,12.916191,"0.33622688"
2,12.916186,"cube(0.6975168)"
3,12.832256,"cbrt(cbrt(x1))"
4,12.704272,"cbrt(cbrt(cbrt(x1)))"
5,12.159759,"cbrt(cbrt(x1)) / 0.1473693"
6,12.125972,"cbrt(cbrt(x1)) / exp(-2.0468004)"
8,11.851323,"cbrt(cbrt(x1 + neg(x0))) / 0.1473693"
9,11.451659,"cbrt(cbrt(x1 + neg(x0))) / neg(-0.0712854)"
10,10.843335,"(cbrt(cbrt(x1)) / 0.1473693) * (inv(x0) * x1)"
12,10.586522,"(cbrt(cbrt(x1 / 0.1473693)) / 0.1473693) * (inv(x0) * x1)"
14,10.412736,"(cbrt(cbrt(x1) / 0.1473693) / 0.1473693) * (inv(x0) * (x1 / 0.97816014))"
15,9.78172,"square(cbrt((cbrt(x1) / 0.1473693) / 0.1473693) * (inv(x0) * (x1 / 0.73353744)))"
17,9.700464,"square(square((cbrt(cbrt(x1) / 0.1473693) * neg((inv(x0) * x1) / 0.97816014)) + -0.30899006))"
19,9.700336,"square(square((cbrt(cbrt(x1) / 0.1473693) * neg((inv(x0) * x1) / 0.97816014)) + (x3 + -0.30899006)))"
21,9.698462,"square(square(((cbrt(cbrt(x1) / 0.1473693) * neg((inv(x0) * x1) / (0.8106401 * 1.2028306))) + x3) + -0.30899006))"
