Complexity,Loss,Equation
1,12.916183,"0.33773726"
3,12.832256,"cbrt(cbrt(x1))"
4,12.417944,"exp(-7.2077523e-7 / x1)"
5,11.851193,"log(exp(x1)) / x0"
6,8.873993,"cube(log(exp(x1)) / x0)"
7,6.500491,"square(square(log(exp(x1)) / x0))"
8,6.0817037,"sqrt(cube(cube(log(exp(x1)) / x0)))"
9,3.650404,"square(cube(cube(log(x0))) * (x1 * 5.4123462e-5))"
11,3.6006186,"square(cube(cube(log(x0))) * (x1 * 5.4123462e-5)) * 1.0795441"
12,3.013004,"square(cube(cube(log(x0))) * (x1 * square(0.007356865 - x0)))"
13,2.501253,"square(square((cube(cube(log(x0))) * x0) * square(0.007356865 - x1)))"
14,2.2041993,"square(x1 * ((cube(cube(log(x0))) * square(0.007356865 - x1)) / -0.8514636))"
16,1.483279,"square(square(square(cube(cube(log(x0))) * (x0 * square(0.007356865 - x0)))) * -0.15787399)"
18,1.4759161,"square(square(square(x0 * (square(0.007356865 - x0) * cube(cube(log(x0)))))) * 0.16986606) * 0.887032"
19,1.4759074,"square(square(square(x0 * (square(0.007356865 - x0) * cube(cube(log(x0)))))) * 0.16986606) * exp(-0.12124942)"
20,1.4590104,"square(square(square(x0 * (square(0.007356865 - (x5 + x0)) * cube(cube(log(x0)))))) * 0.16986606) * 0.887032"
21,1.4058264,"square(x1 * ((cube(cube(log(x0))) * square(0.007356865 - x1)) / -0.8514636)) - (cbrt(x5) / (x0 + 0.002857787))"
22,1.1692494,"square(square(square((x0 * cube(cube(log(x0)) * -0.1918708)) * (0.007356865 - x1))) * -0.1918708) - (cbrt(x1) / 0.054417007)"
23,0.94336647,"(square(x1 * ((cube(cube(log(x0))) * square(0.007356865 - x1)) * -0.8514636)) - (cbrt(x5) / (x0 + 0.002857787))) / 0.46962547"
24,0.8308887,"square(square(square(x0 * (square(0.007356865 - x0) * cube(cube(log(x0)))))) * 0.16986606) - (cbrt(x5) / (sqrt(x3) + 0.002857787))"
25,0.7373951,"square(0.16986606 * square(square((square(0.007356865 - x0) * cube(cube(log(x0)))) * x0))) - (cbrt(square(x1)) / (sqrt(x3) + 0.002857787))"
26,0.71086305,"square(square(square((x0 * cube(cube(log(x0)) * -0.1918708)) * (0.007356865 - x1))) * 0.19338726) - ((cbrt(x5) / (x0 + 0.002857787)) / 0.5565183)"
27,0.7004838,"square(square(square(cube(cube(log(x0)) * -0.1918708) * (x0 * (0.007356865 - x1)))) * 0.19338726) - ((cbrt(x5) / (x0 + square(0.05855845))) / 0.4886415)"
28,0.6219543,"square(square(square(cube(cube(log(x0)) * -0.1918708) * (x0 * (0.007356865 - x1)))) * -0.1918708) - (cbrt(x5) / ((2.297946 * sqrt(cube(x0))) + 0.002857787))"
30,0.61125654,"square(square(square(cube(cube(log(x0)) * -0.1918708) * (x0 * (0.007356865 - x1)))) * -0.1918708) - (cbrt(x5) / ((2.297946 * (sqrt(cube(x0)) + x5)) + 0.002857787))"
