Complexity,Loss,Equation
1,0.75482994,"7.918081"
4,0.65525603,"cbrt(655.57874 - A)"
5,0.41663334,"(-5.9858904 / Z) + 8.157309"
6,0.34245327,"8.019712 - (65.733 / square(A))"
7,0.043332454,"((0.90004516 - Z) / A) * -20.053278"
8,0.035982616,"(-32.015015 / A) + (12.185799 - cbrt(Z))"
9,0.0016837497,"(-26.022669 / A) + (9.713731 - (A * 0.008971218))"
10,0.00087558536,"((-9.559357 / two_third(Z)) - -10.616434) + (Z * -0.029551517)"
11,0.0008755844,"((-9.559357 / cbrt(square(Z))) - -10.616434) + (Z * -0.029551517)"
12,0.00047079264,"(-15.405203 / two_third(A - 0.90258497)) - ((Z * 0.030068643) - 10.588178)"
14,0.00043890567,"((-14.794289 / two_third(A - cbrt(two_third(Z)))) - (Z * 0.029910022)) - -10.55957"
15,0.00021625374,"((-39.21833 / (A + ((-4.8068147 / A) + 2.9825895))) + 10.148069) - (Z * 0.02784824)"
17,0.00018081273,"((Z + -38.852757) / (((-5.5037947 / A) + A) + 3.2869096)) + (9.69601 - (Z * 0.027033802))"
19,0.00018079321,"Z + ((((Z + -38.852272) / ((A + (-5.504156 / A)) + 3.2869644)) - (Z * 1.0270334)) + 9.695993)"
20,5.3618158e-5,"((-40.31133 / (((-5.4619923 / A) + A) + 3.323918)) + ((square(A) * 8.344311e-6) + 10.15551)) + (A * -0.012642617)"
22,4.7176243e-5,"((-40.15327 / (3.3129785 + ((-5.458295 / A) + A))) + 10.1401) + ((A * -0.012240549) + (square(Z - A) * 1.7984561e-5))"
26,4.7111673e-5,"(((square(Z - A) * 1.7922259e-5) + 10.13193) + (-40.290047 / (((-5.4591107 / A) + (A + 3.3105927)) * 1.0041183))) + ((A + -0.5738793) * -0.012230326)"
27,4.7111098e-5,"(square(A - Z) * 1.7922257e-5) + (((-40.290047 / (((A + (-5.4591107 / A)) + 3.3105927) * square(1.0020444))) + 10.13193) + ((A + -0.5738793) * -0.012230326))"
28,4.2822896e-5,"((1.8151966e-5 * square(Z - A)) + ((-0.012271536 * (A + (-1.2525451 / (A - 5.5426784)))) + (-40.28777 / (3.3293052 + ((-5.4521804 / A) + A))))) + 10.14412"
29,3.3226366e-5,"(((-40.287758 / (A + ((-5.4553375 / A) + 3.3234725))) + 10.148422) + ((-0.025060266 / square(29.735676 - A)) + (A * -0.012315177))) + (square(A - Z) * 1.8420225e-5)"
30,2.7146352e-5,"((A + cbrt(10.153644 / square(29.735615 - A))) * -0.0123551935) + (10.153644 + ((-40.287476 / ((A + (-5.4560776 / A)) + 3.3227155)) + (square(A - Z) * 1.8649036e-5)))"
