Complexity,Loss,Equation
4,0.75482994,"f = 1.3293027; g = 1.4389932; h = 1.4078808; a = 3.7419086"
6,0.4166332,"f = 5.8830323; g = 2.2304835; h = -5.9863353 / #2; a = 0.043847326"
7,0.32947868,"f = 5.5497193; g = #1; h = cbrt(#1); a = #1 * -1.0177033"
8,0.0016836812,"f = #1 * -1.0089724; g = -26.024426 / #1; h = #1; a = 9.713932"
10,0.00089737604,"f = 2.584535; g = -32.097652 / (#1 + 0.6707201); h = #2 * -0.026739607; a = 7.4382977"
11,0.00088786177,"f = two_third(#1) * 0.10517501; g = -24.854103 / #1; h = #2 * -0.0630296; a = 9.245643"
12,0.0007496989,"f = #1 * -0.003288019; g = -31.081858 / (#1 + 0.5820877); h = -0.017295111 * #2; a = 9.944496"
13,0.00043369227,"f = (-3.4314122 / #1) * two_third(#1); g = -21.589571 / #1; h = #2 * -0.029722119; a = 10.800872"
15,0.0004336337,"f = (two_third(#1) / #1) * -3.4183626; g = -21.61097 / #1; h = (#2 * -0.029705921) + 4.1280513; a = 6.6693745"
17,0.00043363334,"f = (two_third(#1) * -3.418041) / #1; g = -21.611385 / #1; h = ((#2 + 0.60088557) * -0.029705642) + 4.136938; a = 6.6782455"
18,0.0004244808,"f = two_third(#1) * (-3.6352117 / #1); g = -21.461079 / #1; h = ((#2 + cbrt(#2)) * -0.029319618) + 10.559025; a = 0.3694129"
20,0.000407493,"f = -3.4591982 * (two_third(#1) / #1); g = -21.564917 / #1; h = ((-0.9664137 / (two_third(#1) - 2.6761448)) + #2) * -0.029740566; a = 10.807031"
22,0.00039565563,"f = two_third(#1) * (-3.4574523 / #1); g = -21.517029 / #1; h = (#2 + ((-1.121378 / #2) / (two_third(#1) - 2.6104414))) * -0.02970974; a = 10.804076"
23,0.00038918937,"f = (two_third(#1) * -3.4591982) / #1; g = -21.564917 / #1; h = (((-0.9664137 / two_third(#2)) / (two_third(#1) - 2.6761448)) + #2) * -0.029740566; a = 10.807031"
28,0.00038876705,"f = (two_third(#1) / #1) * -3.447421; g = -21.545544 / #1; h = (((((#2 + #2) / (#2 * #1)) / -0.95812327) / (two_third(#1) - 2.7238672)) + #2) * -0.029735047; a = 10.804421"
29,0.00038421524,"f = (two_third(#1) / #1) * -3.4889987; g = -21.56866 / #1; h = (((((#2 + #2) / (#1 * cbrt(#1))) / -0.9568144) / (two_third(#1) - 2.7330308)) + #2) * -0.029789897; a = 10.816079"
