Complexity,Loss,Equation
1,0.75482994,"7.9180484"
4,0.6552563,"cbrt(655.5711 - A)"
5,0.4166334,"8.157366 - (5.986422 / Z)"
6,0.34245327,"(-65.73381 / square(A)) + 8.019732"
7,0.043332458,"(0.9000672 - Z) * (-20.053314 / A)"
9,0.0016837571,"(9.71378 - (A * 0.008971577)) - (26.023376 / A)"
10,0.00087558856,"(-9.559456 / two_third(Z)) + (10.616463 - (Z * 0.029551817))"
11,0.00087558717,"(-9.559456 / square(cbrt(Z))) + (10.616463 - (Z * 0.029551817))"
12,0.00052109815,"10.695585 - ((Z * 0.030185873) - (-10.068316 / two_third(Z + 0.091393575)))"
15,0.00052098295,"(10.697169 - (Z * 0.03019906)) + (-9.564536 / (square(cbrt(Z + 0.092938006)) * 0.9490633))"
16,0.00020109734,"10.779963 - ((A * ((A * -1.12017915e-5) + 0.014487817)) - (-10.455022 / two_third(Z + 0.14744827)))"
17,0.00018291867,"10.751666 - ((A * 0.014191937) + ((square(A) * -1.0461876e-5) - (-10.466576 / (two_third(Z) + 0.09729002))))"
19,0.00016823417,"10.788711 - ((A * 0.014450551) + ((square(A) * -1.1043099e-5) - (-10.460498 / (two_third(Z / 1.0303061) + 0.11404144))))"
22,0.0001367216,"10.606883 - ((square(A) * -2.01356e-5) + ((A * ((cbrt(Z) * 0.002097136) + 0.006562112)) - (-10.160863 / (0.080309704 + two_third(Z)))))"
24,0.0001301334,"10.605953 - ((square(A) * -1.947075e-5) + (((A + -1.0664122) * ((0.0019316507 * cbrt(Z)) + 0.00720781)) - (-10.161224 / (two_third(Z) + 0.07974844))))"
26,0.00012841675,"10.606883 - (((square(A) * -2.01356e-5) + ((A - 0.452133) * ((cbrt(Z + 0.54938656) * 0.002097136) + 0.006562112))) - (-10.160863 / (two_third(Z) + 0.080309704)))"
27,9.10425e-5,"10.651675 - (((square(A) * -2.5159547e-5) - (-10.154587 / (two_third(Z) + 0.07656818))) + (((cbrt(square((A * 0.5119408) + -20.487747)) * 0.00021056748) + 0.012782348) * A))"
29,8.948714e-5,"10.651512 - ((square(A) * -2.5159547e-5) + (((((square(cbrt((A * 0.5119408) + -20.487747)) * 0.00021056748) + 0.012782348) * A) - 0.0013756121) - (-10.154587 / (two_third(Z) + 0.07656818))))"
